Method,Metric,Train,Test,Threshold,Rep,n,Dataset
sse,is1,3156.8,3944.56,0.3,6,800,easy
crps,sse,896.47,1152.12,0.5,6,800,easy
crps,crps,433.38,549.65,0.5,6,800,easy
crps,dss,482.2,639.94,0.5,6,800,easy
crps,is1,3156.8,3944.56,0.5,6,800,easy
dss,sse,896.47,1152.12,0.5,6,800,easy
dss,crps,433.38,549.65,0.5,6,800,easy
dss,dss,482.2,639.94,0.5,6,800,easy
dss,is1,3156.8,3944.56,0.5,6,800,easy
is1,sse,1004.58,1195.16,0.5,6,800,easy
is1,crps,456.55,558.03,0.5,6,800,easy
is1,dss,981.36,1183.63,0.5,6,800,easy
is1,is1,3074.57,3831.11,0.5,6,800,easy
sse,sse,896.47,1152.12,0.5,6,800,easy
sse,crps,433.38,549.65,0.5,6,800,easy
sse,dss,482.2,639.94,0.5,6,800,easy
sse,is1,3156.8,3944.56,0.5,6,800,easy
crps,sse,896.47,1152.12,0.8,6,800,easy
crps,crps,433.38,549.65,0.8,6,800,easy
crps,dss,482.2,639.94,0.8,6,800,easy
crps,is1,3156.8,3944.56,0.8,6,800,easy
dss,sse,896.47,1152.12,0.8,6,800,easy
dss,crps,433.38,549.65,0.8,6,800,easy
dss,dss,482.2,639.94,0.8,6,800,easy
dss,is1,3156.8,3944.56,0.8,6,800,easy
is1,sse,1004.58,1195.16,0.8,6,800,easy
is1,crps,456.55,558.03,0.8,6,800,easy
is1,dss,981.36,1183.63,0.8,6,800,easy
is1,is1,3074.57,3831.11,0.8,6,800,easy
sse,sse,896.47,1152.12,0.8,6,800,easy
sse,crps,433.38,549.65,0.8,6,800,easy
sse,dss,482.2,639.94,0.8,6,800,easy
sse,is1,3156.8,3944.56,0.8,6,800,easy
crps,sse,268.14,337.99,0,7,800,easy
crps,crps,211.55,267.31,0,7,800,easy
crps,dss,-457.07,-522.79,0,7,800,easy
crps,is1,2613.66,3236.06,0,7,800,easy
dss,sse,267.31,342.77,0,7,800,easy
dss,crps,210.7,270.34,0,7,800,easy
dss,dss,-477.88,-413.16,0,7,800,easy
dss,is1,2610.8,3253.7,0,7,800,easy
is1,sse,195.89,284.85,0,7,800,easy
is1,crps,193.3,254.81,0,7,800,easy
is1,dss,-593.59,-574.99,0,7,800,easy
is1,is1,2564.32,3243.02,0,7,800,easy
sse,sse,268.14,337.99,0,7,800,easy
sse,crps,211.55,267.31,0,7,800,easy
sse,dss,-457.07,-522.79,0,7,800,easy
sse,is1,2613.66,3236.06,0,7,800,easy
crps,sse,270.35,334.94,0.1,7,800,easy
crps,crps,213.66,264.31,0.1,7,800,easy
crps,dss,-449.19,-537.1,0.1,7,800,easy
crps,is1,2620.11,3232.53,0.1,7,800,easy
dss,sse,270.35,334.94,0.1,7,800,easy
dss,crps,213.66,264.31,0.1,7,800,easy
dss,dss,-449.19,-537.1,0.1,7,800,easy
dss,is1,2620.11,3232.53,0.1,7,800,easy
is1,sse,199.76,275.57,0.1,7,800,easy
is1,crps,195.55,251.2,0.1,7,800,easy
is1,dss,-548.74,-586.57,0.1,7,800,easy
is1,is1,2581.47,3217.23,0.1,7,800,easy
sse,sse,270.35,334.94,0.1,7,800,easy
sse,crps,213.66,264.31,0.1,7,800,easy
sse,dss,-449.19,-537.1,0.1,7,800,easy
sse,is1,2620.11,3232.53,0.1,7,800,easy
crps,sse,902.5,1224.26,0.3,7,800,easy
crps,crps,432.51,566.45,0.3,7,800,easy
crps,dss,483.25,704.56,0.3,7,800,easy
crps,is1,3166.78,3994.47,0.3,7,800,easy
dss,sse,902.5,1224.26,0.3,7,800,easy
dss,crps,432.51,566.45,0.3,7,800,easy
dss,dss,483.25,704.56,0.3,7,800,easy
dss,is1,3166.78,3994.47,0.3,7,800,easy
is1,sse,1025.88,1258.6,0.3,7,800,easy
is1,crps,457.51,571.64,0.3,7,800,easy
is1,dss,997.53,1231.71,0.3,7,800,easy
is1,is1,3086.13,3841.39,0.3,7,800,easy
sse,sse,902.5,1224.26,0.3,7,800,easy
sse,crps,432.51,566.45,0.3,7,800,easy
sse,dss,483.25,704.56,0.3,7,800,easy
sse,is1,3166.78,3994.47,0.3,7,800,easy
crps,sse,902.5,1224.26,0.5,7,800,easy
crps,crps,432.51,566.45,0.5,7,800,easy
crps,dss,483.25,704.56,0.5,7,800,easy
crps,is1,3166.78,3994.47,0.5,7,800,easy
dss,sse,902.5,1224.26,0.5,7,800,easy
dss,crps,432.51,566.45,0.5,7,800,easy
dss,dss,483.25,704.56,0.5,7,800,easy
dss,is1,3166.78,3994.47,0.5,7,800,easy
is1,sse,1025.88,1258.6,0.5,7,800,easy
is1,crps,457.51,571.64,0.5,7,800,easy
is1,dss,997.53,1231.71,0.5,7,800,easy
is1,is1,3086.13,3841.39,0.5,7,800,easy
sse,sse,902.5,1224.26,0.5,7,800,easy
sse,crps,432.51,566.45,0.5,7,800,easy
sse,dss,483.25,704.56,0.5,7,800,easy
sse,is1,3166.78,3994.47,0.5,7,800,easy
crps,sse,902.5,1224.26,0.8,7,800,easy
crps,crps,432.51,566.45,0.8,7,800,easy
crps,dss,483.25,704.56,0.8,7,800,easy
crps,is1,3166.78,3994.47,0.8,7,800,easy
dss,sse,902.5,1224.26,0.8,7,800,easy
dss,crps,432.51,566.45,0.8,7,800,easy
dss,dss,483.25,704.56,0.8,7,800,easy
dss,is1,3166.78,3994.47,0.8,7,800,easy
is1,sse,1025.88,1258.6,0.8,7,800,easy
is1,crps,457.51,571.64,0.8,7,800,easy
is1,dss,997.53,1231.71,0.8,7,800,easy
is1,is1,3086.13,3841.39,0.8,7,800,easy
sse,sse,902.5,1224.26,0.8,7,800,easy
sse,crps,432.51,566.45,0.8,7,800,easy
sse,dss,483.25,704.56,0.8,7,800,easy
sse,is1,3166.78,3994.47,0.8,7,800,easy
crps,sse,310.26,419.84,0,8,800,easy
crps,crps,221.91,289.37,0,8,800,easy
crps,dss,-458.17,-500.18,0,8,800,easy
crps,is1,2555.33,3325.79,0,8,800,easy
dss,sse,324.37,438.7,0,8,800,easy
dss,crps,237.02,308.85,0,8,800,easy
dss,dss,-207.07,-238.3,0,8,800,easy
dss,is1,2572.69,3347.25,0,8,800,easy
is1,sse,355.92,489.62,0,8,800,easy
is1,crps,237.94,314.39,0,8,800,easy
is1,dss,-221.84,-190.59,0,8,800,easy
is1,is1,2536.98,3291.66,0,8,800,easy
sse,sse,311.75,415.57,0,8,800,easy
sse,crps,222.88,288.05,0,8,800,easy
sse,dss,-452.86,-493.02,0,8,800,easy
sse,is1,2556.8,3322.92,0,8,800,easy
crps,sse,323.52,399.72,0.1,8,800,easy
crps,crps,227.3,282.35,0.1,8,800,easy
crps,dss,-383.33,-538.63,0.1,8,800,easy
crps,is1,2577.35,3291.05,0.1,8,800,easy
dss,sse,324.93,438.15,0.1,8,800,easy
dss,crps,238.35,307.37,0.1,8,800,easy
dss,dss,-194.98,-241.55,0.1,8,800,easy
dss,is1,2577.71,3343.61,0.1,8,800,easy
is1,sse,430.2,557.56,0.1,8,800,easy
is1,crps,261.84,333.3,0.1,8,800,easy
is1,dss,257.93,328.93,0.1,8,800,easy
is1,is1,2564.79,3302.52,0.1,8,800,easy
sse,sse,323.52,399.72,0.1,8,800,easy
sse,crps,227.3,282.35,0.1,8,800,easy
sse,dss,-383.33,-538.63,0.1,8,800,easy
sse,is1,2577.35,3291.05,0.1,8,800,easy
crps,sse,860.05,1107.94,0.3,8,800,easy
crps,crps,425.25,538.21,0.3,8,800,easy
crps,dss,840.34,1075.06,0.3,8,800,easy
crps,is1,2997.41,3816.15,0.3,8,800,easy
dss,sse,1054.73,1534.62,0.3,8,800,easy
dss,crps,473.69,638.84,0.3,8,800,easy
dss,dss,672.38,967.39,0.3,8,800,easy
dss,is1,3217.59,4234.61,0.3,8,800,easy
is1,sse,860.05,1107.94,0.3,8,800,easy
is1,crps,425.25,538.21,0.3,8,800,easy
is1,dss,840.34,1075.06,0.3,8,800,easy
is1,is1,2997.41,3816.15,0.3,8,800,easy
sse,sse,860.05,1107.94,0.3,8,800,easy
sse,crps,425.25,538.21,0.3,8,800,easy
sse,dss,840.34,1075.06,0.3,8,800,easy
sse,is1,2997.41,3816.15,0.3,8,800,easy
crps,sse,860.05,1107.94,0.5,8,800,easy
crps,crps,425.25,538.21,0.5,8,800,easy
crps,dss,840.34,1075.06,0.5,8,800,easy
crps,is1,2997.41,3816.15,0.5,8,800,easy
dss,sse,1054.73,1534.62,0.5,8,800,easy
dss,crps,473.69,638.84,0.5,8,800,easy
dss,dss,672.38,967.39,0.5,8,800,easy
dss,is1,3217.59,4234.61,0.5,8,800,easy
is1,sse,860.05,1107.94,0.5,8,800,easy
is1,crps,425.25,538.21,0.5,8,800,easy
is1,dss,840.34,1075.06,0.5,8,800,easy
is1,is1,2997.41,3816.15,0.5,8,800,easy
sse,sse,860.05,1107.94,0.5,8,800,easy
sse,crps,425.25,538.21,0.5,8,800,easy
sse,dss,840.34,1075.06,0.5,8,800,easy
sse,is1,2997.41,3816.15,0.5,8,800,easy
crps,sse,860.05,1107.94,0.8,8,800,easy
crps,crps,425.25,538.21,0.8,8,800,easy
crps,dss,840.34,1075.06,0.8,8,800,easy
crps,is1,2997.41,3816.15,0.8,8,800,easy
dss,sse,1054.73,1534.62,0.8,8,800,easy
dss,crps,473.69,638.84,0.8,8,800,easy
dss,dss,672.38,967.39,0.8,8,800,easy
dss,is1,3217.59,4234.61,0.8,8,800,easy
is1,sse,860.05,1107.94,0.8,8,800,easy
is1,crps,425.25,538.21,0.8,8,800,easy
is1,dss,840.34,1075.06,0.8,8,800,easy
is1,is1,2997.41,3816.15,0.8,8,800,easy
sse,sse,860.05,1107.94,0.8,8,800,easy
sse,crps,425.25,538.21,0.8,8,800,easy
sse,dss,840.34,1075.06,0.8,8,800,easy
sse,is1,2997.41,3816.15,0.8,8,800,easy
crps,sse,241.67,349.27,0,9,800,easy
crps,crps,204.18,271.9,0,9,800,easy
crps,dss,-551.56,-560.1,0,9,800,easy
crps,is1,2521.65,3241.46,0,9,800,easy
dss,sse,239.75,354.67,0,9,800,easy
dss,crps,204.04,273.52,0,9,800,easy
dss,dss,-567.65,-516.15,0,9,800,easy
dss,is1,2518.03,3260.04,0,9,800,easy
is1,sse,223.8,333.27,0,9,800,easy
is1,crps,198.81,267.76,0,9,800,easy
is1,dss,-557.75,-550.11,0,9,800,easy
is1,is1,2483.56,3249.76,0,9,800,easy
sse,sse,239.75,354.67,0,9,800,easy
sse,crps,204.04,273.52,0,9,800,easy
sse,dss,-567.65,-516.15,0,9,800,easy
sse,is1,2518.03,3260.04,0,9,800,easy
crps,sse,242.53,348.05,0.1,9,800,easy
crps,crps,205.96,269.86,0.1,9,800,easy
crps,dss,-537.76,-588.34,0.1,9,800,easy
crps,is1,2524.33,3243.69,0.1,9,800,easy
dss,sse,242.53,348.05,0.1,9,800,easy
dss,crps,205.96,269.86,0.1,9,800,easy
dss,dss,-537.76,-588.34,0.1,9,800,easy
dss,is1,2524.33,3243.69,0.1,9,800,easy
is1,sse,232.32,339.79,0.1,9,800,easy
is1,crps,202.86,269.27,0.1,9,800,easy
is1,dss,-477.4,-470.48,0.1,9,800,easy
is1,is1,2490.96,3240.03,0.1,9,800,easy
sse,sse,270.52,344.74,0.1,9,800,easy
sse,crps,216.61,269.27,0.1,9,800,easy
sse,dss,-355.46,-477.41,0.1,9,800,easy
sse,is1,2528.03,3242.34,0.1,9,800,easy
crps,sse,760.27,1062.74,0.3,9,800,easy
crps,crps,399.68,528.8,0.3,9,800,easy
crps,dss,373.84,560.28,0.3,9,800,easy
crps,is1,3025.31,3875.83,0.3,9,800,easy
dss,sse,760.27,1062.74,0.3,9,800,easy
dss,crps,399.68,528.8,0.3,9,800,easy
dss,dss,373.84,560.28,0.3,9,800,easy
dss,is1,3025.31,3875.83,0.3,9,800,easy
is1,sse,760.27,1062.74,0.3,9,800,easy
is1,crps,399.68,528.8,0.3,9,800,easy
is1,dss,373.84,560.28,0.3,9,800,easy
is1,is1,3025.31,3875.83,0.3,9,800,easy
sse,sse,760.27,1062.74,0.3,9,800,easy
sse,crps,399.68,528.8,0.3,9,800,easy
sse,dss,373.84,560.28,0.3,9,800,easy
sse,is1,3025.31,3875.83,0.3,9,800,easy
crps,sse,760.27,1062.74,0.5,9,800,easy
crps,crps,399.68,528.8,0.5,9,800,easy
crps,dss,373.84,560.28,0.5,9,800,easy
crps,is1,3025.31,3875.83,0.5,9,800,easy
dss,sse,760.27,1062.74,0.5,9,800,easy
dss,crps,399.68,528.8,0.5,9,800,easy
dss,dss,373.84,560.28,0.5,9,800,easy
dss,is1,3025.31,3875.83,0.5,9,800,easy
is1,sse,760.27,1062.74,0.5,9,800,easy
is1,crps,399.68,528.8,0.5,9,800,easy
is1,dss,373.84,560.28,0.5,9,800,easy
is1,is1,3025.31,3875.83,0.5,9,800,easy
sse,sse,760.27,1062.74,0.5,9,800,easy
sse,crps,399.68,528.8,0.5,9,800,easy
sse,dss,373.84,560.28,0.5,9,800,easy
sse,is1,3025.31,3875.83,0.5,9,800,easy
crps,sse,760.27,1062.74,0.8,9,800,easy
crps,crps,399.68,528.8,0.8,9,800,easy
crps,dss,373.84,560.28,0.8,9,800,easy
crps,is1,3025.31,3875.83,0.8,9,800,easy
dss,sse,760.27,1062.74,0.8,9,800,easy
dss,crps,399.68,528.8,0.8,9,800,easy
dss,dss,373.84,560.28,0.8,9,800,easy
dss,is1,3025.31,3875.83,0.8,9,800,easy
is1,sse,760.27,1062.74,0.8,9,800,easy
is1,crps,399.68,528.8,0.8,9,800,easy
is1,dss,373.84,560.28,0.8,9,800,easy
is1,is1,3025.31,3875.83,0.8,9,800,easy
sse,sse,760.27,1062.74,0.8,9,800,easy
sse,crps,399.68,528.8,0.8,9,800,easy
sse,dss,373.84,560.28,0.8,9,800,easy
sse,is1,3025.31,3875.83,0.8,9,800,easy
crps,sse,267.21,394.58,0,10,800,easy
crps,crps,209.19,283.27,0,10,800,easy
crps,dss,-434.31,-351.34,0,10,800,easy
crps,is1,2613.08,3350.09,0,10,800,easy
dss,sse,290.67,401.44,0,10,800,easy
dss,crps,215.54,284.29,0,10,800,easy
dss,dss,-474.76,-412.51,0,10,800,easy
dss,is1,2596.34,3283,0,10,800,easy
is1,sse,266.1,371.17,0,10,800,easy
is1,crps,210.34,281.72,0,10,800,easy
is1,dss,-366.11,-360.75,0,10,800,easy
is1,is1,2550.47,3268.5,0,10,800,easy
sse,sse,267.2,394.32,0,10,800,easy
sse,crps,209.26,282.88,0,10,800,easy
sse,dss,-434.44,-353.98,0,10,800,easy
sse,is1,2615.05,3347.41,0,10,800,easy
crps,sse,275.55,392.2,0.1,10,800,easy
crps,crps,213.98,279.49,0.1,10,800,easy
crps,dss,-317.22,-317.79,0.1,10,800,easy
crps,is1,2622.68,3333.35,0.1,10,800,easy
dss,sse,292.24,397.89,0.1,10,800,easy
dss,crps,217.39,281.63,0.1,10,800,easy
dss,dss,-448.68,-490.44,0.1,10,800,easy
dss,is1,2599.37,3274.18,0.1,10,800,easy
is1,sse,303.78,415.59,0.1,10,800,easy
is1,crps,226.58,292.75,0.1,10,800,easy
is1,dss,-10.99,104.79,0.1,10,800,easy
is1,is1,2569.72,3262.94,0.1,10,800,easy
sse,sse,275.55,392.2,0.1,10,800,easy
sse,crps,213.98,279.49,0.1,10,800,easy
sse,dss,-317.22,-317.79,0.1,10,800,easy
sse,is1,2622.68,3333.35,0.1,10,800,easy
crps,sse,898.53,1153.1,0.3,10,800,easy
crps,crps,431.55,549.69,0.3,10,800,easy
crps,dss,478.9,640.5,0.3,10,800,easy
crps,is1,3144.81,3943.12,0.3,10,800,easy
dss,sse,898.53,1153.1,0.3,10,800,easy
dss,crps,431.55,549.69,0.3,10,800,easy
dss,dss,478.9,640.5,0.3,10,800,easy
dss,is1,3144.81,3943.12,0.3,10,800,easy
is1,sse,607.25,674.5,0.3,10,800,easy
is1,crps,295.23,352.08,0.3,10,800,easy
is1,dss,403.53,451.05,0.3,10,800,easy
is1,is1,2645.44,3323.02,0.3,10,800,easy
sse,sse,898.53,1153.1,0.3,10,800,easy
sse,crps,431.55,549.69,0.3,10,800,easy
sse,dss,478.9,640.5,0.3,10,800,easy
sse,is1,3144.81,3943.12,0.3,10,800,easy
crps,sse,898.53,1153.1,0.5,10,800,easy
crps,crps,431.55,549.69,0.5,10,800,easy
crps,dss,478.9,640.5,0.5,10,800,easy
crps,is1,3144.81,3943.12,0.5,10,800,easy
dss,sse,898.53,1153.1,0.5,10,800,easy
dss,crps,431.55,549.69,0.5,10,800,easy
dss,dss,478.9,640.5,0.5,10,800,easy
dss,is1,3144.81,3943.12,0.5,10,800,easy
is1,sse,1082.25,1272.2,0.5,10,800,easy
is1,crps,470.12,574.64,0.5,10,800,easy
is1,dss,1037.26,1245.41,0.5,10,800,easy
is1,is1,3089.24,3843.51,0.5,10,800,easy
sse,sse,898.53,1153.1,0.5,10,800,easy
sse,crps,431.55,549.69,0.5,10,800,easy
sse,dss,478.9,640.5,0.5,10,800,easy
sse,is1,3144.81,3943.12,0.5,10,800,easy
crps,sse,898.53,1153.1,0.8,10,800,easy
crps,crps,431.55,549.69,0.8,10,800,easy
crps,dss,478.9,640.5,0.8,10,800,easy
crps,is1,3144.81,3943.12,0.8,10,800,easy
dss,sse,898.53,1153.1,0.8,10,800,easy
dss,crps,431.55,549.69,0.8,10,800,easy
dss,dss,478.9,640.5,0.8,10,800,easy
dss,is1,3144.81,3943.12,0.8,10,800,easy
is1,sse,1082.25,1272.2,0.8,10,800,easy
is1,crps,470.12,574.64,0.8,10,800,easy
is1,dss,1037.26,1245.41,0.8,10,800,easy
is1,is1,3089.24,3843.51,0.8,10,800,easy
sse,sse,898.53,1153.1,0.8,10,800,easy
sse,crps,431.55,549.69,0.8,10,800,easy
sse,dss,478.9,640.5,0.8,10,800,easy
sse,is1,3144.81,3943.12,0.8,10,800,easy
crps,sse,269.51,396.09,0,11,800,easy
crps,crps,213.62,288.4,0,11,800,easy
crps,dss,-439.46,-337.29,0,11,800,easy
crps,is1,2613.46,3271.23,0,11,800,easy
dss,sse,270.65,392.1,0,11,800,easy
dss,crps,214.44,286.89,0,11,800,easy
dss,dss,-440.59,-349.16,0,11,800,easy
dss,is1,2621.4,3262.82,0,11,800,easy
is1,sse,248.71,370.87,0,11,800,easy
is1,crps,212.14,282.77,0,11,800,easy
is1,dss,-353.05,-274.22,0,11,800,easy
is1,is1,2601.32,3251.22,0,11,800,easy
sse,sse,270.61,392.73,0,11,800,easy
sse,crps,214.42,287.05,0,11,800,easy
sse,dss,-437.47,-352.83,0,11,800,easy
sse,is1,2620.99,3264.93,0,11,800,easy
crps,sse,271.89,392.49,0.1,11,800,easy
crps,crps,215.57,286.29,0.1,11,800,easy
crps,dss,-430.3,-356.27,0.1,11,800,easy
crps,is1,2623.17,3263.21,0.1,11,800,easy
dss,sse,271.89,392.49,0.1,11,800,easy
dss,crps,215.57,286.29,0.1,11,800,easy
dss,dss,-430.3,-356.27,0.1,11,800,easy
dss,is1,2623.17,3263.21,0.1,11,800,easy
is1,sse,277,398.81,0.1,11,800,easy
is1,crps,224.47,292.03,0.1,11,800,easy
is1,dss,-242.71,-22.13,0.1,11,800,easy
is1,is1,2616.09,3269.47,0.1,11,800,easy
sse,sse,297.36,406.7,0.1,11,800,easy
sse,crps,227.1,290.46,0.1,11,800,easy
sse,dss,-281.5,-287.56,0.1,11,800,easy
sse,is1,2623.7,3262.01,0.1,11,800,easy
crps,sse,906.84,1232.9,0.3,11,800,easy
crps,crps,435.21,568.78,0.3,11,800,easy
crps,dss,476.05,712.72,0.3,11,800,easy
crps,is1,3154.1,4002.59,0.3,11,800,easy
dss,sse,906.84,1232.9,0.3,11,800,easy
dss,crps,435.21,568.78,0.3,11,800,easy
dss,dss,476.05,712.72,0.3,11,800,easy
dss,is1,3154.1,4002.59,0.3,11,800,easy
is1,sse,1042.88,1259.27,0.3,11,800,easy
is1,crps,462.01,572.01,0.3,11,800,easy
is1,dss,1010.08,1233.19,0.3,11,800,easy
is1,is1,3078.61,3841.71,0.3,11,800,easy
sse,sse,906.84,1232.9,0.3,11,800,easy
sse,crps,435.21,568.78,0.3,11,800,easy
sse,dss,476.05,712.72,0.3,11,800,easy
sse,is1,3154.1,4002.59,0.3,11,800,easy
crps,sse,906.84,1232.9,0.5,11,800,easy
crps,crps,435.21,568.78,0.5,11,800,easy
crps,dss,476.05,712.72,0.5,11,800,easy
crps,is1,3154.1,4002.59,0.5,11,800,easy
dss,sse,906.84,1232.9,0.5,11,800,easy
dss,crps,435.21,568.78,0.5,11,800,easy
dss,dss,476.05,712.72,0.5,11,800,easy
dss,is1,3154.1,4002.59,0.5,11,800,easy
is1,sse,1042.88,1259.27,0.5,11,800,easy
is1,crps,462.01,572.01,0.5,11,800,easy
is1,dss,1010.08,1233.19,0.5,11,800,easy
is1,is1,3078.61,3841.71,0.5,11,800,easy
sse,sse,906.84,1232.9,0.5,11,800,easy
sse,crps,435.21,568.78,0.5,11,800,easy
sse,dss,476.05,712.72,0.5,11,800,easy
sse,is1,3154.1,4002.59,0.5,11,800,easy
crps,sse,906.84,1232.9,0.8,11,800,easy
crps,crps,435.21,568.78,0.8,11,800,easy
crps,dss,476.05,712.72,0.8,11,800,easy
crps,is1,3154.1,4002.59,0.8,11,800,easy
dss,sse,906.84,1232.9,0.8,11,800,easy
dss,crps,435.21,568.78,0.8,11,800,easy
dss,dss,476.05,712.72,0.8,11,800,easy
dss,is1,3154.1,4002.59,0.8,11,800,easy
is1,sse,1042.88,1259.27,0.8,11,800,easy
is1,crps,462.01,572.01,0.8,11,800,easy
is1,dss,1010.08,1233.19,0.8,11,800,easy
is1,is1,3078.61,3841.71,0.8,11,800,easy
sse,sse,906.84,1232.9,0.8,11,800,easy
sse,crps,435.21,568.78,0.8,11,800,easy
sse,dss,476.05,712.72,0.8,11,800,easy
sse,is1,3154.1,4002.59,0.8,11,800,easy
crps,sse,250.88,350.27,0,12,800,easy
crps,crps,210.76,275.03,0,12,800,easy
crps,dss,-424.72,-480.09,0,12,800,easy
crps,is1,2600.84,3263.8,0,12,800,easy
dss,sse,285.6,385.14,0,12,800,easy
dss,crps,225.09,287.43,0,12,800,easy
dss,dss,-394.48,-392.26,0,12,800,easy
dss,is1,2698.8,3366.93,0,12,800,easy
is1,sse,294.14,418.26,0,12,800,easy
is1,crps,220.98,291.41,0,12,800,easy
is1,dss,-94.86,-23.23,0,12,800,easy
is1,is1,2591.09,3262.36,0,12,800,easy
sse,sse,243.64,340.99,0,12,800,easy
sse,crps,206.83,268.02,0,12,800,easy
sse,dss,-480.28,-502.7,0,12,800,easy
sse,is1,2610.71,3282.46,0,12,800,easy
crps,sse,268.2,378.35,0.1,12,800,easy
crps,crps,216.08,278.7,0.1,12,800,easy
crps,dss,-313.64,-304.25,0.1,12,800,easy
crps,is1,2627.21,3299.56,0.1,12,800,easy
dss,sse,291.24,382.83,0.1,12,800,easy
dss,crps,228.32,284.08,0.1,12,800,easy
dss,dss,-365.68,-419.79,0.1,12,800,easy
dss,is1,2707.3,3370.5,0.1,12,800,easy
is1,sse,331.87,484.95,0.1,12,800,easy
is1,crps,236.53,314.84,0.1,12,800,easy
is1,dss,56.39,217.5,0.1,12,800,easy
is1,is1,2616.69,3284.92,0.1,12,800,easy
sse,sse,250.91,346.52,0.1,12,800,easy
sse,crps,210.78,268.63,0.1,12,800,easy
sse,dss,-394.07,-427.8,0.1,12,800,easy
sse,is1,2623.9,3282.5,0.1,12,800,easy
crps,sse,828.57,1152.09,0.3,12,800,easy
crps,crps,416.24,550.04,0.3,12,800,easy
crps,dss,428.18,643.22,0.3,12,800,easy
crps,is1,3108.03,3945.61,0.3,12,800,easy
dss,sse,828.57,1152.09,0.3,12,800,easy
dss,crps,416.24,550.04,0.3,12,800,easy
dss,dss,428.18,643.22,0.3,12,800,easy
dss,is1,3108.03,3945.61,0.3,12,800,easy
is1,sse,1029.92,1440.59,0.3,12,800,easy
is1,crps,459.08,611.47,0.3,12,800,easy
is1,dss,993.26,1355.22,0.3,12,800,easy
is1,is1,3059.61,3873.9,0.3,12,800,easy
sse,sse,828.57,1152.09,0.3,12,800,easy
sse,crps,416.24,550.04,0.3,12,800,easy
sse,dss,428.18,643.22,0.3,12,800,easy
sse,is1,3108.03,3945.61,0.3,12,800,easy
crps,sse,828.57,1152.09,0.5,12,800,easy
crps,crps,416.24,550.04,0.5,12,800,easy
crps,dss,428.18,643.22,0.5,12,800,easy
crps,is1,3108.03,3945.61,0.5,12,800,easy
dss,sse,828.57,1152.09,0.5,12,800,easy
dss,crps,416.24,550.04,0.5,12,800,easy
dss,dss,428.18,643.22,0.5,12,800,easy
dss,is1,3108.03,3945.61,0.5,12,800,easy
is1,sse,1029.92,1440.59,0.5,12,800,easy
is1,crps,459.08,611.47,0.5,12,800,easy
is1,dss,993.26,1355.22,0.5,12,800,easy
is1,is1,3059.61,3873.9,0.5,12,800,easy
sse,sse,828.57,1152.09,0.5,12,800,easy
sse,crps,416.24,550.04,0.5,12,800,easy
sse,dss,428.18,643.22,0.5,12,800,easy
sse,is1,3108.03,3945.61,0.5,12,800,easy
crps,sse,828.57,1152.09,0.8,12,800,easy
crps,crps,416.24,550.04,0.8,12,800,easy
crps,dss,428.18,643.22,0.8,12,800,easy
crps,is1,3108.03,3945.61,0.8,12,800,easy
dss,sse,828.57,1152.09,0.8,12,800,easy
dss,crps,416.24,550.04,0.8,12,800,easy
dss,dss,428.18,643.22,0.8,12,800,easy
dss,is1,3108.03,3945.61,0.8,12,800,easy
is1,sse,1029.92,1440.59,0.8,12,800,easy
is1,crps,459.08,611.47,0.8,12,800,easy
is1,dss,993.26,1355.22,0.8,12,800,easy
is1,is1,3059.61,3873.9,0.8,12,800,easy
sse,sse,828.57,1152.09,0.8,12,800,easy
sse,crps,416.24,550.04,0.8,12,800,easy
sse,dss,428.18,643.22,0.8,12,800,easy
sse,is1,3108.03,3945.61,0.8,12,800,easy
crps,sse,205.57,303.36,0,13,800,easy
crps,crps,191.17,258.83,0,13,800,easy
crps,dss,-644.17,-635.38,0,13,800,easy
crps,is1,2590.01,3240.28,0,13,800,easy
dss,sse,244.03,320.78,0,13,800,easy
dss,crps,201.62,264.98,0,13,800,easy
dss,dss,-492.66,-504.82,0,13,800,easy
dss,is1,2602.17,3241.99,0,13,800,easy
is1,sse,214.24,306.71,0,13,800,easy
is1,crps,192.81,260.7,0,13,800,easy
is1,dss,-569.75,-530.54,0,13,800,easy
is1,is1,2584.5,3241.07,0,13,800,easy
sse,sse,204.78,302.33,0,13,800,easy
sse,crps,190.92,258.27,0,13,800,easy
sse,dss,-650.61,-633.69,0,13,800,easy
sse,is1,2590.88,3237.03,0,13,800,easy
crps,sse,222.84,295.85,0.1,13,800,easy
crps,crps,197.29,253.88,0.1,13,800,easy
crps,dss,-327.53,-417.96,0.1,13,800,easy
crps,is1,2601.09,3217.79,0.1,13,800,easy
dss,sse,245.95,314.9,0.1,13,800,easy
dss,crps,202.96,261.37,0.1,13,800,easy
dss,dss,-480.74,-527.58,0.1,13,800,easy
dss,is1,2604.95,3232.5,0.1,13,800,easy
is1,sse,222.84,295.85,0.1,13,800,easy
is1,crps,197.29,253.88,0.1,13,800,easy
is1,dss,-327.53,-417.96,0.1,13,800,easy
is1,is1,2601.09,3217.79,0.1,13,800,easy
sse,sse,222.84,295.85,0.1,13,800,easy
sse,crps,197.29,253.88,0.1,13,800,easy
sse,dss,-327.53,-417.96,0.1,13,800,easy
sse,is1,2601.09,3217.79,0.1,13,800,easy
crps,sse,692.59,970.81,0.3,13,800,easy
crps,crps,379.56,506.29,0.3,13,800,easy
